iter	Passed	Remaining
0	11	11509
1	21	10486
2	30	10068
3	39	9810
4	48	9724
5	58	9632
6	67	9541
7	76	9497
8	86	9507
9	96	9509
10	105	9515
11	115	9503
12	124	9435
13	132	9363
14	141	9294
15	150	9251
16	159	9208
17	168	9171
18	177	9176
19	188	9255
20	200	9357
21	211	9406
22	222	9440
23	232	9466
24	243	9478
25	253	9501
26	264	9516
27	274	9523
28	283	9506
29	293	9496
30	303	9487
31	313	9476
32	322	9443
33	330	9403
34	339	9365
35	348	9331
36	357	9301
37	366	9269
38	375	9240
39	383	9209
40	393	9195
41	402	9173
42	411	9151
43	420	9132
44	429	9113
45	438	9092
46	446	9062
47	455	9037
48	464	9018
49	473	8992
50	482	8970
51	491	8953
52	500	8935
53	509	8917
54	517	8897
55	526	8881
56	535	8865
57	544	8850
58	554	8841
59	563	8822
60	571	8803
61	580	8780
62	589	8763
63	598	8750
64	607	8732
65	615	8716
66	624	8700
67	633	8689
68	643	8676
69	651	8660
70	660	8644
71	669	8623
72	677	8607
73	686	8592
74	695	8577
75	704	8568
76	713	8554
77	722	8537
78	731	8524
79	740	8510
80	749	8502
81	758	8489
82	767	8474
83	776	8462
84	785	8450
85	794	8439
86	802	8422
87	811	8409
88	820	8398
89	829	8388
90	838	8376
91	847	8365
92	856	8353
93	865	8342
94	874	8332
95	883	8318
96	892	8309
97	901	8297
98	910	8282
99	918	8268
100	927	8260
101	936	8248
102	945	8236
103	954	8225
104	964	8223
105	974	8217
106	984	8213
107	993	8205
108	1003	8201
109	1012	8194
110	1022	8186
111	1031	8182
112	1041	8173
113	1050	8164
114	1060	8157
115	1069	8149
116	1078	8142
117	1088	8137
118	1098	8130
119	1107	8120
120	1116	8110
121	1126	8103
122	1135	8095
123	1145	8089
124	1154	8081
125	1163	8072
126	1172	8058
127	1181	8047
128	1190	8039
129	1199	8030
130	1209	8020
131	1217	8008
132	1226	7997
133	1235	7986
134	1244	7973
135	1253	7962
136	1262	7952
137	1271	7941
138	1280	7928
139	1288	7916
140	1297	7905
141	1306	7896
142	1315	7885
143	1324	7872
144	1333	7862
145	1342	7852
146	1351	7839
147	1359	7828
148	1368	7816
149	1376	7802
150	1385	7792
151	1394	7780
152	1403	7769
153	1412	7760
154	1421	7752
155	1431	7742
156	1440	7732
157	1449	7723
158	1458	7712
159	1466	7700
160	1475	7687
161	1484	7676
162	1492	7664
163	1501	7652
164	1509	7640
165	1518	7629
166	1528	7621
167	1536	7611
168	1546	7605
169	1557	7603
170	1566	7593
171	1577	7592
172	1587	7587
173	1597	7581
174	1605	7569
175	1614	7557
176	1623	7547
177	1632	7538
178	1641	7529
179	1651	7521
180	1660	7512
181	1668	7500
182	1677	7489
183	1686	7477
184	1694	7465
185	1703	7454
186	1712	7446
187	1721	7436
188	1730	7424
189	1739	7414
190	1748	7404
191	1757	7396
192	1766	7386
193	1775	7375
194	1784	7366
195	1793	7355
196	1802	7345
197	1811	7336
198	1819	7324
199	1828	7314
200	1837	7305
201	1846	7295
202	1855	7285
203	1864	7275
204	1873	7265
205	1882	7254
206	1891	7245
207	1899	7232
208	1908	7223
209	1917	7213
210	1926	7203
211	1935	7194
212	1944	7183
213	1953	7173
214	1961	7162
215	1970	7153
216	1980	7145
217	1989	7135
218	1997	7123
219	2006	7113
220	2015	7103
221	2024	7093
222	2032	7082
223	2041	7070
224	2050	7062
225	2059	7051
226	2067	7041
227	2077	7034
228	2086	7025
229	2095	7015
230	2104	7005
231	2113	6996
232	2122	6987
233	2131	6976
234	2140	6966
235	2148	6956
236	2158	6947
237	2166	6936
238	2175	6927
239	2185	6920
240	2194	6912
241	2203	6902
242	2212	6893
243	2221	6882
244	2230	6873
245	2239	6862
246	2247	6851
247	2255	6840
248	2264	6830
249	2272	6818
250	2281	6808
251	2290	6798
252	2299	6788
253	2308	6780
254	2317	6771
255	2326	6762
256	2335	6752
257	2344	6742
258	2353	6733
259	2362	6724
260	2371	6715
261	2380	6705
262	2389	6697
263	2398	6686
264	2406	6675
265	2415	6665
266	2424	6655
267	2432	6644
268	2441	6633
269	2449	6622
270	2458	6613
271	2467	6603
272	2475	6593
273	2484	6583
274	2493	6573
275	2503	6565
276	2511	6556
277	2520	6546
278	2529	6537
279	2538	6528
280	2547	6518
281	2556	6508
282	2564	6498
283	2573	6489
284	2582	6479
285	2591	6469
286	2600	6460
287	2609	6450
288	2618	6441
289	2627	6431
290	2636	6422
291	2644	6413
292	2654	6404
293	2662	6393
294	2671	6384
295	2680	6374
296	2688	6362
297	2696	6352
298	2706	6345
299	2715	6335
300	2724	6327
301	2733	6318
302	2742	6309
303	2751	6299
304	2759	6288
305	2768	6277
306	2776	6268
307	2785	6257
308	2793	6247
309	2802	6238
310	2812	6229
311	2821	6221
312	2829	6211
313	2839	6202
314	2847	6192
315	2856	6183
316	2865	6174
317	2874	6164
318	2882	6154
319	2892	6145
320	2902	6138
321	2912	6131
322	2921	6123
323	2930	6115
324	2940	6108
325	2950	6101
326	2960	6093
327	2970	6086
328	2979	6076
329	2987	6065
330	2997	6057
331	3005	6047
332	3014	6037
333	3023	6028
334	3032	6019
335	3041	6010
336	3049	6000
337	3058	5989
338	3067	5980
339	3075	5970
340	3084	5961
341	3093	5952
342	3102	5942
343	3111	5933
344	3120	5924
345	3128	5913
346	3137	5904
347	3146	5895
348	3155	5886
349	3164	5877
350	3173	5867
351	3182	5857
352	3191	5849
353	3200	5840
354	3209	5831
355	3218	5822
356	3228	5814
357	3237	5804
358	3246	5796
359	3255	5786
360	3264	5777
361	3273	5768
362	3282	5759
363	3290	5749
364	3300	5742
365	3309	5732
366	3317	5722
367	3326	5712
368	3334	5702
369	3344	5694
370	3352	5684
371	3361	5675
372	3370	5666
373	3380	5658
374	3389	5649
375	3397	5639
376	3406	5629
377	3415	5620
378	3424	5611
379	3434	5603
380	3442	5593
381	3451	5583
382	3460	5574
383	3469	5565
384	3478	5556
385	3487	5547
386	3496	5539
387	3506	5531
388	3515	5522
389	3524	5513
390	3534	5504
391	3542	5495
392	3552	5486
393	3560	5475
394	3568	5466
395	3577	5457
396	3586	5448
397	3595	5438
398	3604	5429
399	3613	5419
400	3622	5410
401	3630	5401
402	3640	5392
403	3649	5383
404	3658	5374
405	3667	5365
406	3676	5355
407	3684	5346
408	3693	5336
409	3702	5328
410	3711	5318
411	3720	5309
412	3729	5301
413	3738	5291
414	3747	5282
415	3756	5272
416	3765	5263
417	3774	5255
418	3783	5246
419	3792	5237
420	3800	5227
421	3809	5217
422	3818	5208
423	3827	5198
424	3836	5190
425	3844	5180
426	3853	5171
427	3862	5162
428	3871	5153
429	3881	5144
430	3889	5135
431	3898	5126
432	3907	5116
433	3915	5106
434	3924	5097
435	3933	5088
436	3942	5079
437	3951	5070
438	3960	5061
439	3970	5052
440	3978	5043
441	3987	5033
442	3996	5024
443	4005	5015
444	4014	5006
445	4022	4996
446	4031	4987
447	4040	4978
448	4049	4969
449	4058	4959
450	4066	4950
451	4075	4940
452	4083	4931
453	4092	4922
454	4101	4912
455	4109	4902
456	4118	4893
457	4127	4884
458	4135	4874
459	4144	4865
460	4153	4856
461	4161	4846
462	4170	4837
463	4179	4828
464	4189	4819
465	4197	4810
466	4206	4801
467	4215	4791
468	4224	4783
469	4233	4774
470	4243	4765
471	4252	4756
472	4261	4747
473	4270	4738
474	4279	4729
475	4288	4721
476	4297	4712
477	4306	4702
478	4314	4693
479	4323	4683
480	4332	4674
481	4341	4665
482	4350	4657
483	4360	4648
484	4369	4639
485	4378	4630
486	4387	4621
487	4396	4612
488	4405	4603
489	4414	4595
490	4424	4586
491	4433	4577
492	4442	4569
493	4452	4560
494	4461	4552
495	4471	4543
496	4481	4535
497	4490	4527
498	4499	4518
499	4509	4509
500	4518	4500
501	4528	4492
502	4537	4483
503	4546	4474
504	4556	4465
505	4565	4457
506	4574	4447
507	4583	4438
508	4593	4430
509	4602	4422
510	4611	4413
511	4621	4404
512	4630	4395
513	4639	4386
514	4648	4377
515	4657	4369
516	4667	4360
517	4676	4351
518	4686	4342
519	4695	4334
520	4706	4326
521	4715	4318
522	4725	4309
523	4734	4300
524	4743	4291
525	4752	4282
526	4762	4274
527	4771	4265
528	4780	4256
529	4790	4248
